dataset,missing_pattern,missing_rate,method,reference_method,NMI_delta,ARI_delta,ACC_delta,Purity_delta,method_NMI_mean,statistical_only_NMI_mean,missing_baseline
BDGP,mcar,50,llm_gimvc,statistical_only,0.00397972714841166,0.005632110273178059,0.005599999999999938,0.005599999999999938,0.5089965687934189,0.5050168416450073,False
BDGP,mcar,50,mica,statistical_only,-0.5026365196956103,-0.3637621507244396,-0.452,-0.45,0.0023803219493969364,0.5050168416450073,False
BDGP,mcar,50,jga_imvc,statistical_only,-0.5037056006017471,-0.36460691102806325,-0.4556,-0.452,0.001311241043260222,0.5050168416450073,False
BDGP,mcar,50,freecsl,statistical_only,-0.502712943643636,-0.3638233981553296,-0.4508,-0.4504,0.0023038980013712637,0.5050168416450073,False
